Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
375,Robert Covington,PHI,1000000,1000000,1015696,1087745,,,,1000000
376,John Salmons,ATL,1000000,,,,,,,1000000
377,Garrett Temple,WAS,981084,1100602,,,,,Minimum Salary,981084
378,Greg Stiemsma,TOR,981084,,,,,,Minimum Salary,981084
379,Ish Smith,PHI,981084,,,,,,Minimum Salary,981084
380,Alexis Ajinca,NOP,981084,,,,,,Minimum Salary,981084
381,Luke Babbitt,NOP,981084,,,,,,Minimum Salary,981084
382,Ed Davis,LAL,981084,1063384,,,,,Minimum Salary,981084
383,Wesley Johnson,LAL,981084,,,,,,Minimum Salary,981084
384,Ekpe Udoh,LAC,981084,,,,,,Minimum Salary,981084
385,Ish Smith,HOU,981084,,,,,,,981084
386,Al-Farouq Aminu,DAL,981084,1100602,,,,,Minimum Salary,981084
387,Jon Leuer,MEM,967500,1035000,,,,,Early Bird Rights,967500
388,Jimmer Fredette,NOP,948163,,,,,,Minimum Salary,948163
389,Lavoy Allen,IND,948163,,,,,,Minimum Salary,948163
390,Donald Sloan,IND,948163,,,,,,Minimum Salary,948163
391,Joey Dorsey,HOU,948163,1015421,,,,,Minimum Salary,1963584
392,Greg Smith,DAL,948163,,,,,,Minimum Salary,948163
393,E'Twaun Moore,CHI,948163,1015421,,,,,Minimum Salary,948163
394,Wayne Ellington,SAC,923780,923670,923670,,,,,
395,Diante Garrett,POR,915243,981348,,,,,,30000
396,Alonzo Gee,POR,1063384,,,,,,Minimum Salary,1063384
397,Kendall Marshall,PHO,915243,,,,,,,915243
398,Henry Sims,PHI,915243,,,,,,Minimum Salary,915243
399,Kyle O'Quinn,ORL,915243,,,,,,MLE,915243
400,Sebastian Telfair,OKC,915243,,,,,,,915243
401,Cole Aldrich,NYK,981084,,,,,,Minimum Salary,915243
402,Quincy Acy,NYK,915243,,,,,,Cap Space,915243
403,Khris Middleton,MIL,915243,,,,,,MLE,915243
404,Robert Sacre,LAL,915243,981348,,,,,Non Bird Rights,915243
405,Glen Davis,LAC,1227985,,,,,,Minimum Salary,1227985
406,Jeff Adrien,HOU,981084,,,,,,,981084
407,Patrick Beverley,HOU,915243,,,,,,Cap Space,915243
408,Draymond Green,GSW,915243,,,,,,MLE,915243
409,Will Barton,DEN,915243,,,,,,Cap Space,915243
410,Bernard James,DAL,915243,,,,,,,915243
411,Richard Jefferson,DAL,1448490,,,,,,Minimum Salary,1448490
412,Charlie Villanueva,DAL,1316809,,,,,,Minimum Salary,1316809
413,Jeffery Taylor,CHO,915243,,,,,,Minimum Salary,915243
414,Jason Maxiell,CHO,1316809,,,,,,Minimum Salary,1316809
415,Jerome Jordan,BRK,915243,,,,,,Minimum Salary,915243
416,Chris Douglas-Roberts,BOS,915243,,,,,,,915243
417,Jae Crowder,BOS,915243,,,,,,Cap Space,915243
418,Jerami Grant,PHI,884879,845059,980431,1051245,,,Draft Pick,1729938
419,Devyn Marble,ORL,884879,845059,980431,,,,,884879
420,Joe Harris,CLE,884879,845059,980439,,,,,1729938
421,Robbie Hummel,MIN,880000,,,,,,,880000
422,Allen Crabbe,POR,862000,947276,,,,,Cap Space,862000
423,Dante Cunningham,NOP,831942,,,,,,,831942
424,Damien Inglis,MIL,820000,855000,980431,,,,Cap Space,1675000
425,Carrick Felix,UTA,816482,,,,,,,816482
426,Ray McCallum,SAC,816482,947276,,,,,Cap Space,816482
427,Tony Mitchell,PHO,816482,,,,,,,816482
428,Isaiah Canaan,PHI,816482,947276,,,,,Cap Space,1574303
429,Hollis Thompson,PHI,816482,947276,1015696,,,,Cap Space,816482
430,Dewayne Dedmon,ORL,816482,947278,,,,,Minimum Salary,816482
431,Jeff Withey,NOP,816482,,,,,,Minimum Salary,816482
432,Justin Hamilton,MIN,816482,,,,,,Minimum Salary,816482
433,Nate Wolters,MIL,816482,,,,,,,816482
434,Nick Calathes,MEM,816482,,,,,,Minimum Salary,816482
435,Ognjen Kuzmic,GSW,816482,,,,,,Minimum Salary,816482
436,Justin Holiday,GSW,816482,,,,,,Minimum Salary,816482
437,Ian Clark,DEN,816482,,,,,,Minimum Salary,816482
438,Gal Mekel,DAL,816482,947276,,,,,,1763758
439,Ricky Ledo,DAL,816482,947276,1015696,,,,,816482
440,Matthew Dellavedova,CLE,816482,,,,,,Minimum Salary,816482
441,Troy Daniels,CHO,816482,947276,,,,,Minimum Salary,1763758
442,Phil Pressey,BOS,816482,947276,,,,,Mini MLE,816482
443,Mike Muscala,ATL,816482,947276,,,,,Minimum Salary,816482
444,Grant Jerrett,UTA,816481,947276,1015696,1087745,,,Non Bird Rights,1763757
445,Michael Beasley,PHO,777778,777778,777778,,,,,
446,Hassan Whiteside,MIA,769881,981348,,,,,Minimum Salary,769881
447,Jarnell Stokes,MEM,725000,845059,980431,,,,MLE,1570059
448,Darius Morris,BRK,702756,,,,,,Minimum Salary,
449,Spencer Dinwiddie,DET,700000,845059,980431,,,,Cap Space,1545059
450,Carlos Delfino,LAC,650000,650000,650000,650000,650000,,,
451,Marcus Camby,TOR,646609,,,,,,,646609
452,Gal Mekel,NOP,633974,,,,,,,
453,Johnny O'Bryant,MIL,600000,845059,980431,,,,Cap Space,1445059
454,Joe Ingles,UTA,507336,,,,,,Minimum Salary,
455,Eric Moreland,SAC,507336,845059,980431,,,,MLE,200000
456,Glenn Robinson,PHI,507336,,,,,,Minimum Salary,507336
457,JaKarr Sampson,PHI,507336,845059,980431,1051245,,,Cap Space,507336
458,Cleanthony Early,NYK,507336,845059,,,,,Minimum Salary,1352395
459,Travis Wear,NYK,507336,,,,,,Minimum Salary,62000
460,Tyler Johnson,MIA,507336,845059,,,,,,334637
461,James Ennis,MIA,507336,845059,980431,,,,Cap Space,507336
462,Russ Smith,MEM,816482,816482,816482,,,,Minimum Salary,507336
463,Jordan Clarkson,LAL,507336,845059,,,,,Minimum Salary,507336
464,Tarik Black,LAL,507336,845059,,,,,Minimum Salary,507336
465,Shayne Whittington,IND,507336,,,,,,,507336
466,Nick Johnson,HOU,507336,845059,980431,,,,Cap Space,2332826
467,K.J. McDaniels,HOU,507336,,,,,,Minimum Salary,507336
468,Erick Green,DEN,507336,845059,980431,,,,Minimum Salary,507336
469,Dwight Powell,DAL,507336,845059,,,,,Minimum Salary,507336
470,Cameron Bairstow,CHI,507336,845059,980431,,,,Cap Space,932336
471,Cory Jefferson,BRK,507336,845059,,,,,Minimum Salary,507336
472,Markel Brown,BRK,507336,845059,,,,,Minimum Salary,507336
473,Amar'e Stoudemire,DAL,485670,,,,,,Minimum Salary,485670
474,Malcolm Thomas,PHI,474000,,,,,,,474000
475,Fab Melo,MEM,437080,437080,,,,,,874160
476,Kendrick Perkins,CLE,434547,,,,,,Minimum Salary,434547
477,Kenyon Martin,MIL,414551,,,,,,,170410
478,Louis Amundson,NYK,409167,,,,,,Minimum Salary,
479,Lance Thomas,NYK,403784,,,,,,Minimum Salary,
480,Glen Rice,WAS,400000,,,,,,,400000
481,Pierre Jackson,PHI,400000,,,,,,,400000
482,Darius Miller,NOP,400000,,,,,,,400000
483,Dahntay Jones,LAC,387632,,,,,,Minimum Salary,387632
484,Ronald Roberts Jr.,PHI,373041,,,,,,,
485,Richard Hamilton,CHI,333333,333333,,,,,,666666
486,Michael Beasley,MIA,330226,1270964,,,,,Minimum Salary,330226
487,Miroslav Raduljica,LAC,300000,300000,300000,300000,300000,,,
488,Lorenzo Brown,MIN,283367,947276,,,,,Minimum Salary,283367
489,Toney Douglas,NOP,268974,,,,,,Minimum Salary,268974
490,Toure' Murry,UTA,250000,,,,,,,250000
491,Elijah Millsap,UTA,241731,845059,980431,,,,Minimum Salary,59686
492,Bernard James,DAL,236866,,,,,,Minimum Salary,236866
493,Langston Galloway,NYK,235762,845059,,,,,Minimum Salary,235762
494,Jack Cooley,UTA,187357,845059,,,,,Minimum Salary,187357
495,James Michael McAdoo,GSW,167122,845059,,,,,Minimum Salary,267122
496,Chris Johnson,UTA,166897,981348,,,,,Minimum Salary,166897
497,Jamaal Franklin,MEM,163296,163296,163296,163296,163296,,,816482
498,Nate Robinson,LAC,154918,,,,,,,154918
499,Bryce Cotton,UTA,152200,845059,,,,,Minimum Salary,152200
500,Jordan Hamilton,LAC,150591,1015420,,,,,Minimum Salary,150591
501,Kadeem Batts,ORL,150000,,,,,,,150000
502,Akil Mitchell,HOU,150000,,,,,,,150000
503,Robert Covington,HOU,150000,,,,,,,150000
504,Quincy Miller,DEN,150000,,,,,,,150000
505,Eric Griffin,DAL,150000,,,,,,,150000
506,Will Bynum,WAS,144468,,,,,,Minimum Salary,144468
507,Reggie Williams,SAS,125104,,,,,,Minimum Salary,62552
508,Austin Daye,ATL,125104,1185784,,,,,Minimum Salary,125104
509,John Lucas,DET,123827,,,,,,Minimum Salary,123827
510,Henry Walker,MIA,115422,,,,,,Minimum Salary,115422
511,Quincy Miller,SAC,107676,,,,,,,107676
512,Earl Barron,PHO,107676,,,,,,Minimum Salary,144468
513,Elliot Williams,NOP,107676,,,,,,,53838
514,Quincy Miller,DET,107676,,,,,,Minimum Salary,107676
515,Chris Johnson,MIL,107674,,,,,,,107676
516,Peyton Siva,ORL,100000,,,,,,,100000
517,Seth Curry,ORL,100000,,,,,,,100000
518,Patric Young,NOP,100000,,,,,,,100000
519,Erik Murphy,BOS,100000,,,,,,,100000
520,Miroslav Raduljica,MIN,96100,,,,,,,96100
521,Toure' Murry,WAS,96056,,,,,,,96056
522,Ricky Ledo,NYK,96056,,,,,,Minimum Salary,96056
523,Nate Wolters,NOP,96056,,,,,,Minimum Salary,95056
524,Jarvis Varnado,PHI,75000,,,,,,,75000
525,Drew Crawford,ORL,75000,,,,,,,75000
526,Tyrus Thomas,MEM,72234,,,,,,,72234
527,Dee Bost,UTA,65000,,,,,,,65000
528,Dee Bost,UTA,65000,,,,,,,65000
529,Kevin Murphy,UTA,65000,,,,,,,65000
530,Alex Kirk,NYK,65000,,,,,,,65000
531,A.J. Price,PHO,62552,,,,,,,62552
532,Earl Clark,BRK,62552,1185784,,,,,Minimum Salary,62552
533,Tim Frazier,PHI,59686,,,,,,,59686
534,Larry Drew,PHI,59686,,,,,,,59686
535,Jorge Gutierrez,MIL,59686,1,,,,,Minimum Salary,59686
536,JaMychal Green,MEM,59686,,,,,,Minimum Salary,59686
537,Andre Dawkins,BOS,59686,,,,,,,59686
538,Lester Hudson,LAC,55774,1015421,,,,,Minimum Salary,55774
539,Elliot Williams,UTA,53838,,,,,,,53838
540,Elliot Williams,CHO,53838,,,,,,,53838
541,Tim Frazier,POR,50734,845059,,,,,Minimum Salary,50734
542,Bryce Cotton,SAS,50000,,,,,,,50000
543,Khem Birch,MIA,50000,,,,,,,50000
544,Seth Curry,PHO,48028,,,,,,,48028
545,Dwight Buycks,LAL,48028,,,,,,,48028
546,Chris Babb,BOS,48028,947276,,,,,Minimum Salary,48028
547,Jabari Brown,LAL,44765,845059,,,,,Minimum Salary,44765
548,Arinze Onuaku,MIN,43226,,,,,,Hardship Exception,43226
549,Drew Gordon,PHI,40000,,,,,,,40000
550,Sean Kilpatrick,GSW,35000,,,,,,,35000
551,Mitchell Watt,GSW,35000,,,,,,,35000
552,Aaron Craft,GSW,35000,,,,,,,35000
553,Jerrelle Benimon,DEN,35000,,,,,,,35000
554,Jerrelle Benimon,UTA,29843,,,,,,,29843
555,Sim Bhullar,SAC,29843,,,,,,,29843
556,David Wear,SAC,29843,,,,,,,29843
557,David Stockton,SAC,29843,845059,,,,,Minimum Salary,29843
558,Jerel McNeal,PHO,29843,981348,,,,,Minimum Salary,29843
559,Sean Kilpatrick,MIN,29843,,,,,,,29843
560,Jarell Eddie,ATL,29843,,,,,,,29843
561,Jordan Vandenberg,NYK,27000,,,,,,,27000
562,Will Cherry,TOR,25000,,,,,,,25000
563,Ivan Johnson,DAL,25000,,,,,,,25000
564,Josh Davis,SAS,20000,,,,,,,20000
565,Jamaal Franklin,DEN,19914,947276,1269620,,,,MLE,19914
566,Orlando Sanchez,NYK,15000,,,,,,,15000
567,Vander Blue,LAL,14409,,,,,,Minimum Salary,
