Player,Link,Tm,Money,Signed Using,Year
Domantas Sabonis,sabondo01,OKC,2440200,1st Round pick,2017
Shelvin Mack,macksh01,UTA,2433334,,2017
Tony Snell,snellto01,MIL,2368327,1st Round Pick,2017
Gorgui Dieng,dienggo01,MIN,2348783,1st Round Pick,2017
Trey Lyles,lylestr01,UTA,2340600,1st round pick,2017
Mason Plumlee,plumlma01,DEN,2328530,1st Round Pick,2017
Dario Saric,saricda01,PHI,2318280,1st Round pick,2017
Taurean Prince,princta02,ATL,2318280,1st Round pick,2017
Tim Hardaway,hardati02,ATL,2281605,1st Round Pick,2017
Reggie Bullock,bullore01,DET,2255644,1st Round Pick,2017
Joe Ingles,inglejo01,UTA,2250000,Cap Space,2017
Zach LaVine,lavinza01,MIN,2240880,1st Round Pick,2017
Devin Booker,bookede01,PHO,2223600,1st round pick,2017
Luc Mbah a Moute,mbahalu01,LAC,2203000,Bi-annual Exception,2017
Georgios Papagiannis,papagge01,SAC,2202240,1st Round pick,2017
Mo Williams,willima01,DEN,2200000,,2017
Andre Roberson,roberan03,OKC,2183072,1st Round Pick,2017
T.J. Warren,warretj01,PHO,2128920,1st Round Pick,2017
Rudy Gobert,goberru01,UTA,2121288,1st Round Pick,2017
Cameron Payne,payneca01,CHI,2112480,1st round pick,2017
Archie Goodwin,goodwar01,PHO,2094089,,2017
Denzel Valentine,valende01,CHI,2092200,1st Round pick,2017
Tim Frazier,fraziti01,NOP,2090000,Room exception,2017
Adreian Payne,paynead01,MIN,2022240,1st Round Pick,2017
Kelly Oubre,oubreke01,WAS,2006640,1st round pick,2017
Juan Hernangomez,hernaju01,DEN,1987440,1st Round pick,2017
Anderson Varejao,varejan01,POR,1984005,,2017
Lucas Nogueira,noguelu01,TOR,1921320,1st Round Pick,2017
Jusuf Nurkic,nurkiju01,POR,1921320,1st Round Pick,2017
Terry Rozier,roziete01,BOS,1906440,1st round pick,2017
Tim Duncan,duncati01,SAS,1881250,,2017
Larry Sanders,sandela01,MIL,1865547,,2017
James Young,youngja01,BOS,1825200,1st Round Pick,2017
Rashad Vaughn,vaughra01,MIL,1811040,1st round pick,2017
Kevin Seraphin,serapke01,IND,1800000,Cap Space,2017
Wade Baldwin,baldwwa01,MEM,1793760,1st Round pick,2017
Quincy Acy,acyqu01,BRK,1790902,Cap space,2017
Tyler Ennis,ennisty01,LAL,1733880,1st Round Pick,2017
Sam Dekker,dekkesa01,HOU,1720560,1st Round pick,2017
Joffrey Lauvergne,lauvejo01,CHI,1709720,MLE,2017
Henry Ellenson,ellenhe01,DET,1704120,1st Round pick,2017
Gary Harris,harriga01,DEN,1655880,1st Round Pick,2017
Jerian Grant,grantje02,CHI,1643040,1st Round pick,2017
Malik Beasley,beaslma01,DEN,1627320,1st Round pick,2017
Bruno Caboclo,cabocbr01,TOR,1589640,1st Round Pick,2017
Delon Wright,wrighde01,TOR,1577280,1st Round pick,2017
Caris LeVert,leverca01,BRK,1562280,1st Round pick,2017
David Lee,leeda02,SAS,1551659,Minimum Salary,2017
Lou Amundson,amundlo01,NYK,1551659,,2017
Steve Novak,novakst01,MIL,1551659,,2017
Jason Terry,terryja01,MIL,1551659,Minimum Salary,2017
Metta World Peace,artesro01,LAL,1551659,Minimum Salary,2017
